Orders,Month,CPI,FED FUNDS RATE,RETAIL SALES,U RATE,R GDP,H Total Sales
1.2661713455515653,1/1/2018,0.54,1.41,-0.9,4.0,0.7,6.67
-0.6177051469979102,2/1/2018,0.45,1.42,-0.1,4.1,0.7,12.5
0.8829064720242873,3/1/2018,0.23,1.51,0.1,4.0,0.7,22.22
0.6936065903242012,4/1/2018,0.4,1.69,1.4,4.0,0.7,-7.58
1.3237907426266409,5/1/2018,0.42,1.7,-0.8,3.8,0.7,1.64
0.7667733674809651,6/1/2018,0.16,1.82,0.3,4.0,0.7,-9.68
0.3374058074728401,7/1/2018,0.01,1.91,0.5,3.8,0.7,-7.14
0.9653497032793592,8/1/2018,0.06,1.91,-1.2,3.8,0.7,-9.62
0.135110645891218,9/1/2018,0.12,1.95,-0.1,3.7,0.7,-2.13
0.7432506742737998,10/1/2018,0.18,2.19,0.5,3.8,0.2,-6.52
0.0549990735971006,11/1/2018,-0.33,2.2,0.0,3.8,0.2,2.33
-0.0360897555270273,12/1/2018,-0.32,2.27,0.2,3.9,0.2,-13.64
0.3771031525805516,1/1/2019,0.19,2.4,-1.1,4.0,0.5,28.95
-0.0764591775835149,2/1/2019,0.42,2.4,0.1,3.8,0.5,16.33
0.3516090336569761,3/1/2019,0.56,2.41,0.7,3.8,0.5,19.3
0.3689038138054825,4/1/2019,0.53,2.42,0.7,3.6,0.7,-5.88
0.3249499813555221,5/1/2019,0.21,2.39,0.5,3.7,0.7,-12.5
0.4399647498560811,6/1/2019,0.02,2.38,0.6,3.6,0.7,17.86
0.2119962488312099,7/1/2019,0.17,2.4,0.2,3.7,0.9,-16.67
0.4191751695739387,8/1/2019,-0.01,2.13,0.0,3.7,0.9,3.64
0.7807973731454275,9/1/2019,0.08,2.04,1.2,3.5,0.9,-1.75
1.4717372816172314,10/1/2019,0.23,1.83,-1.1,3.6,0.4,-1.79
-0.3432737262476477,11/1/2019,-0.05,1.55,0.7,3.6,0.4,-9.09
-0.198149910441917,12/1/2019,-0.09,1.55,-1.7,3.6,0.4,-2.0
0.265090327784526,1/1/2020,0.39,1.55,3.7,3.5,-1.2,20.41
-0.3827918508356855,2/1/2020,0.27,1.58,-1.4,3.5,-1.2,6.78
0.8417771549643839,3/1/2020,-0.22,0.65,-22.2,4.4,-1.2,-6.35
-0.4641131616376,4/1/2020,-0.67,0.05,-50.4,14.7,-8.5,-11.86
-0.3269646589573464,5/1/2020,0.0,0.05,79.2,13.2,-8.5,23.08
0.7632785673473291,6/1/2020,0.55,0.08,39.0,11.0,-8.5,23.44
2.182212226733462,7/1/2020,0.51,0.09,2.7,10.2,7.9,7.59
2.548135722777118,8/1/2020,0.32,0.1,5.1,8.4,7.9,-4.71
2.368691177453885,9/1/2020,0.14,0.09,1.0,7.9,7.9,-4.94
1.4218243668881223,10/1/2020,0.04,0.09,-0.8,6.9,1.0,1.3
-0.4784059980815729,11/1/2020,-0.06,0.09,-1.7,6.7,1.0,-21.79
-0.0321469040942072,12/1/2020,0.09,0.09,-0.2,6.7,1.0,3.28
-0.2622212462252437,1/1/2021,0.43,0.09,13.5,6.3,1.5,22.22
-0.5987077719125043,2/1/2021,0.55,0.08,-5.2,6.2,1.5,-9.09
0.1891008274429023,3/1/2021,0.71,0.07,7.2,6.1,1.5,18.57
-0.7604990960478836,4/1/2021,0.82,0.07,0.0,6.1,1.7,-10.84
-0.8876112496264134,5/1/2021,0.8,0.06,-0.5,5.8,1.7,-12.16
-1.3693112013792414,6/1/2021,0.93,0.08,-0.6,5.9,1.7,-6.15
-0.9804474788173592,7/1/2021,0.48,0.1,-0.4,5.4,0.7,1.64
0.6292664237613642,8/1/2021,0.21,0.09,0.0,5.2,0.7,-11.29
-0.0742189210875944,9/1/2021,0.27,0.08,0.8,4.8,0.7,5.45
1.004867827867397,10/1/2021,0.83,0.08,0.5,4.5,1.7,-12.07
-0.7172173405466993,11/1/2021,0.49,0.08,-0.1,4.2,1.7,5.88
-1.4760370208448943,12/1/2021,0.31,0.08,-2.7,3.9,1.7,12.96
-0.3216328484970556,1/1/2022,0.84,0.08,1.1,4.0,-0.4,14.75
-1.563138193406284,2/1/2022,0.91,0.08,2.5,3.8,-0.4,1.43
-0.131524682253241,3/1/2022,1.34,0.2,0.0,3.6,-0.4,-4.23
-1.4676136564202331,4/1/2022,0.56,0.33,1.5,3.6,-0.1,-17.65
-1.4467344658782544,5/1/2022,1.1,0.77,-1.1,3.6,-0.1,3.57
-1.0678174821582591,6/1/2022,1.37,1.21,-1.2,3.6,-0.1,-17.24
-1.56578169607147,7/1/2022,-0.01,1.68,0.1,3.5,0.8,-8.33
-0.8493028635461726,8/1/2022,-0.04,2.33,0.6,3.7,0.8,15.91
-1.3153658249574756,9/1/2022,0.22,2.56,-2.1,3.5,0.8,-13.73
-1.2496366993671677,10/1/2022,0.41,3.08,2.0,3.7,0.7,2.27
-1.321593738016135,11/1/2022,-0.1,3.78,-1.1,3.6,0.7,-4.44
-1.7473320825008682,12/1/2022,-0.31,4.1,-1.6,3.5,0.7,9.3
